No,全国地方公共団体コード,都道府県名,公表_年月日,患者_延べ数,患者_入院中_入院予定含む,患者_入院中のうち重症者,患者_宿泊療養施設に入所中,患者_自宅療養中,患者_社会福祉施設等で療養中,患者_退院等,患者_死亡
1,330001,岡山県,2020/8/26,142,11,0,3,0,,128,0
2,330001,岡山県,2020/9/2,145,4,0,0,0,,140,1
3,330001,岡山県,2020/9/9,146,1,0,0,0,,144,1
4,330001,岡山県,2020/9/16,147,1,0,0,0,,145,1
5,330001,岡山県,2020/9/23,148,1,0,0,0,,146,1
6,330001,岡山県,2020/9/30,157,8,0,0,0,,148,1
7,330001,岡山県,2020/10/7,161,7,3,1,0,,152,1
8,330001,岡山県,2020/10/14,168,10,2,1,1,,155,1
9,330001,岡山県,2020/10/21,185,17,1,4,2,,161,1
10,330001,岡山県,2020/10/28,230,47,0,4,3,,172,4
11,330001,岡山県,2020/11/4,309,91,2,21,6,,185,6
12,330001,岡山県,2020/11/11,348,67,1,9,4,,258,10
13,330001,岡山県,2020/11/18,430,80,3,7,22,,310,11
14,330001,岡山県,2020/11/25,530,92,3,24,40,,363,11
15,330001,岡山県,2020/12/2,619,89,5,26,25,,468,11
16,330001,岡山県,2020/12/9,689,83,3,24,9,,562,11
17,330001,岡山県,2020/12/16,858,144,3,28,32,,642,12
18,330001,岡山県,2020/12/23,1159,156,8,68,160,,762,13
19,330001,岡山県,2020/12/30,1339,133,8,52,107,,1032,15
20,330001,岡山県,2021/1/6,1583,142,9,49,136,,1241,15
21,330001,岡山県,2021/1/13,1929,148,17,69,262,,1434,16
22,330001,岡山県,2021/1/20,2154,147,21,58,182,,1750,17
23,330001,岡山県,2021/1/27,2285,119,10,39,94,,2013,20
24,330001,岡山県,2021/2/3,2366,77,5,29,31,6,2199,24
25,330001,岡山県,2021/2/10,2422,63,5,18,8,7,2300,26
26,330001,岡山県,2021/2/17,2458,63,3,14,7,5,2340,29
27,330001,岡山県,2021/2/24,2474,43,2,7,3,0,2389,32
28,330001,岡山県,2021/3/3,2496,42,1,2,0,0,2419,33
29,330001,岡山県,2021/3/10,2552,63,1,8,6,0,2441,34
30,330001,岡山県,2021/3/17,2590,54,6,17,5,0,2479,35
31,330001,岡山県,2021/3/24,2635,41,4,30,5,0,2524,35
32,330001,岡山県,2021/3/31,2693,47,3,33,2,0,2576,35
33,330001,岡山県,2021/4/7,2804,80,3,80,6,0,2603,35
34,330001,岡山県,2021/4/14,3023,91,4,137,18,0,2742,35
35,330001,岡山県,2021/4/21,3340,165,11,152,79,0,2907,37
36,330001,岡山県,2021/4/28,3773,221,15,144,201,10,3157,40
37,330001,岡山県,2021/5/5,4404,289,20,169,386,19,3492,49
38,330001,岡山県,2021/5/12,5443,309,26,223,759,17,4071,64
39,330001,岡山県,2021/5/19,6508,348,30,224,800,14,5045,77
40,330001,岡山県,2021/5/26,7111,286,31,150,550,6,6022,97
41,330001,岡山県,2021/6/2,7397,254,18,112,184,1,6712,107
42,330001,岡山県,2021/6/9,7509,166,7,57,31,0,7125,115
43,330001,岡山県,2021/6/16,7564,102,4,21,14,0,7302,123
44,330001,岡山県,2021/6/23,7582,54,8,15,3,0,7385,125
45,330001,岡山県,2021/6/30,7590,24,4,1,0,0,7439,126
46,330001,岡山県,2021/7/7,7603,13,1,8,1,0,7455,126
47,330001,岡山県,2021/7/14,7638,7,1,29,3,0,7472,127
48,330001,岡山県,2021/7/21,7749,18,1,70,16,0,7518,127
49,330001,岡山県,2021/7/28,7984,45,3,142,58,0,7612,127
